uniqueid,plotid,year,corn_grain_yield_kg,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture,grain_yield_Mg,lon_lat,Plotid,observed
NWREC,1011.0,2014,13596.0,263,M,M,M,13.596,"(-90.7272222, 40.9305556)",1011,13596.0
NWREC,1011.0,2012,13828.0,168,M,M,M,13.828,"(-90.7272222, 40.9305556)",1011,13828.0
NWREC,1012.0,2012,13189.0,158,M,M,M,13.189,"(-90.7272222, 40.9305556)",1012,13189.0
NWREC,1012.0,2014,14922.0,205,M,M,M,14.922,"(-90.7272222, 40.9305556)",1012,14922.0
NWREC,1021.0,2012,14177.0,173,M,M,M,14.177,"(-90.7272222, 40.9305556)",1021,14177.0
NWREC,1021.0,2015,14849.0,226,M,M,M,14.849,"(-90.7272222, 40.9305556)",1021,14849.0
NWREC,1022.0,2012,14220.0,156,M,M,M,14.22,"(-90.7272222, 40.9305556)",1022,14220.0
NWREC,1022.0,2015,15604.0,218,M,M,M,15.604,"(-90.7272222, 40.9305556)",1022,15604.0
NWREC,1061.0,2013,14405.0,257,M,M,M,14.405,"(-90.7272222, 40.9305556)",1061,14405.0
NWREC,1062.0,2013,15459.0,206,M,M,M,15.459,"(-90.7272222, 40.9305556)",1062,15459.0
NWREC,1071.0,2011,14708.0,200,M,M,M,14.708,"(-90.7272222, 40.9305556)",1071,14708.0
NWREC,1071.0,2014,15032.0,206,M,M,M,15.032,"(-90.7272222, 40.9305556)",1071,15032.0
NWREC,1072.0,2014,12968.0,226,M,M,M,12.968,"(-90.7272222, 40.9305556)",1072,12968.0
NWREC,1072.0,2011,13632.0,210,M,M,M,13.632,"(-90.7272222, 40.9305556)",1072,13632.0
NWREC,1091.0,2013,13796.0,218,M,M,M,13.796,"(-90.7272222, 40.9305556)",1091,13796.0
NWREC,1091.0,2011,13916.0,199,M,M,M,13.916,"(-90.7272222, 40.9305556)",1091,13916.0
NWREC,1091.0,2015,14653.0,201,M,M,M,14.653,"(-90.7272222, 40.9305556)",1091,14653.0
NWREC,1092.0,2013,12571.0,228,M,M,M,12.571,"(-90.7272222, 40.9305556)",1092,12571.0
NWREC,1092.0,2011,12608.0,210,M,M,M,12.608,"(-90.7272222, 40.9305556)",1092,12608.0
NWREC,1092.0,2015,14437.0,216,M,M,M,14.437,"(-90.7272222, 40.9305556)",1092,14437.0
NWREC,1101.0,2012,7675.0,144,M,M,M,7.675,"(-90.7272222, 40.9305556)",1101,7675.0
NWREC,1101.0,2013,10409.0,178,M,M,M,10.409,"(-90.7272222, 40.9305556)",1101,10409.0
NWREC,1101.0,2011,11456.0,177,M,M,M,11.456,"(-90.7272222, 40.9305556)",1101,11456.0
NWREC,1101.0,2015,14972.0,213,M,M,M,14.972,"(-90.7272222, 40.9305556)",1101,14972.0
NWREC,1101.0,2014,14988.0,214,M,M,M,14.988,"(-90.7272222, 40.9305556)",1101,14988.0
NWREC,1102.0,2012,6940.0,141,M,M,M,6.94,"(-90.7272222, 40.9305556)",1102,6940.0
NWREC,1102.0,2013,8574.0,166,M,M,M,8.574,"(-90.7272222, 40.9305556)",1102,8574.0
NWREC,1102.0,2014,13634.0,274,M,M,M,13.634,"(-90.7272222, 40.9305556)",1102,13634.0
NWREC,1102.0,2015,15128.0,231,M,M,M,15.128,"(-90.7272222, 40.9305556)",1102,15128.0
NWREC,2011.0,2014,13038.0,255,M,M,M,13.038,"(-90.7272222, 40.9305556)",2011,13038.0
NWREC,2012.0,2011,13946.0,203,M,M,M,13.946,"(-90.7272222, 40.9305556)",2012,13946.0
NWREC,2012.0,2014,15124.0,216,M,M,M,15.124,"(-90.7272222, 40.9305556)",2012,15124.0
NWREC,2031.0,2012,8968.0,143,M,M,M,8.968,"(-90.7272222, 40.9305556)",2031,8968.0
NWREC,2031.0,2013,10496.0,183,M,M,M,10.496,"(-90.7272222, 40.9305556)",2031,10496.0
NWREC,2031.0,2011,12229.0,190,M,M,M,12.229,"(-90.7272222, 40.9305556)",2031,12229.0
NWREC,2031.0,2014,14468.0,222,M,M,M,14.468,"(-90.7272222, 40.9305556)",2031,14468.0
NWREC,2031.0,2015,15457.0,225,M,M,M,15.457,"(-90.7272222, 40.9305556)",2031,15457.0
NWREC,2032.0,2012,8101.0,162,M,M,M,8.101,"(-90.7272222, 40.9305556)",2032,8101.000000000001
NWREC,2032.0,2013,10456.0,233,M,M,M,10.456,"(-90.7272222, 40.9305556)",2032,10456.0
NWREC,2032.0,2011,12403.0,213,M,M,M,12.403,"(-90.7272222, 40.9305556)",2032,12403.0
NWREC,2032.0,2014,13021.0,289,M,M,M,13.021,"(-90.7272222, 40.9305556)",2032,13021.0
NWREC,2032.0,2015,13938.0,233,M,M,M,13.938,"(-90.7272222, 40.9305556)",2032,13938.0
NWREC,2051.0,2013,14629.0,219,M,M,M,14.629,"(-90.7272222, 40.9305556)",2051,14629.0
NWREC,2052.0,2013,13687.0,248,M,M,M,13.687,"(-90.7272222, 40.9305556)",2052,13687.0
NWREC,2061.0,2012,13344.0,173,M,M,M,13.344,"(-90.7272222, 40.9305556)",2061,13344.0
NWREC,2061.0,2015,15257.0,233,M,M,M,15.257,"(-90.7272222, 40.9305556)",2061,15257.0
NWREC,2062.0,2012,14299.0,163,M,M,M,14.299,"(-90.7272222, 40.9305556)",2062,14299.0
NWREC,2062.0,2015,16001.0,217,M,M,M,16.001,"(-90.7272222, 40.9305556)",2062,16001.000000000002
NWREC,2071.0,2014,13754.0,250,M,M,M,13.754,"(-90.7272222, 40.9305556)",2071,13754.0
NWREC,2071.0,2012,14539.0,178,M,M,M,14.539,"(-90.7272222, 40.9305556)",2071,14539.0
NWREC,2072.0,2012,13979.0,162,M,M,M,13.979,"(-90.7272222, 40.9305556)",2072,13979.0
NWREC,2072.0,2014,15413.0,202,M,M,M,15.413,"(-90.7272222, 40.9305556)",2072,15413.0
NWREC,2091.0,2013,11275.0,237,M,M,M,11.275,"(-90.7272222, 40.9305556)",2091,11275.0
NWREC,2091.0,2011,13616.0,207,M,M,M,13.616,"(-90.7272222, 40.9305556)",2091,13616.0
NWREC,2091.0,2015,15472.0,208,M,M,M,15.472,"(-90.7272222, 40.9305556)",2091,15472.0
NWREC,2092.0,2013,12024.0,232,M,M,M,12.024,"(-90.7272222, 40.9305556)",2092,12024.0
NWREC,2092.0,2011,12680.0,213,M,M,M,12.68,"(-90.7272222, 40.9305556)",2092,12680.0
NWREC,2092.0,2015,15019.0,224,M,M,M,15.019,"(-90.7272222, 40.9305556)",2092,15019.0
NWREC,3011.0,2013,11114.0,271,M,M,M,11.114,"(-90.7272222, 40.9305556)",3011,11114.0
NWREC,3012.0,2013,14038.0,223,M,M,M,14.038,"(-90.7272222, 40.9305556)",3012,14038.0
NWREC,3031.0,2013,13082.0,254,M,M,M,13.082,"(-90.7272222, 40.9305556)",3031,13082.0
NWREC,3031.0,2011,14297.0,237,M,M,M,14.297,"(-90.7272222, 40.9305556)",3031,14297.0
NWREC,3031.0,2015,15000.0,230,M,M,M,15.0,"(-90.7272222, 40.9305556)",3031,15000.0
NWREC,3032.0,2013,14020.0,231,M,M,M,14.02,"(-90.7272222, 40.9305556)",3032,14020.0
NWREC,3032.0,2015,15154.0,211,M,M,M,15.154,"(-90.7272222, 40.9305556)",3032,15154.0
NWREC,3032.0,2011,15599.0,222,M,M,M,15.599,"(-90.7272222, 40.9305556)",3032,15599.0
NWREC,3051.0,2011,13912.0,207,M,M,M,13.912,"(-90.7272222, 40.9305556)",3051,13912.0
NWREC,3051.0,2014,15012.0,218,M,M,M,15.012,"(-90.7272222, 40.9305556)",3051,15012.0
NWREC,3052.0,2014,13661.0,274,M,M,M,13.661,"(-90.7272222, 40.9305556)",3052,13661.0
NWREC,3052.0,2011,13945.0,236,M,M,M,13.945,"(-90.7272222, 40.9305556)",3052,13945.0
NWREC,3061.0,2012,14387.0,162,M,M,M,14.387,"(-90.7272222, 40.9305556)",3061,14387.0
NWREC,3061.0,2015,15210.0,229,M,M,M,15.21,"(-90.7272222, 40.9305556)",3061,15210.0
NWREC,3062.0,2012,15368.0,180,M,M,M,15.368,"(-90.7272222, 40.9305556)",3062,15368.0
NWREC,3062.0,2015,15525.0,234,M,M,M,15.525,"(-90.7272222, 40.9305556)",3062,15525.0
NWREC,3091.0,2013,8061.0,266,M,M,M,8.061,"(-90.7272222, 40.9305556)",3091,8061.0
NWREC,3091.0,2012,8670.0,151,M,M,M,8.67,"(-90.7272222, 40.9305556)",3091,8670.0
NWREC,3091.0,2011,12543.0,201,M,M,M,12.543,"(-90.7272222, 40.9305556)",3091,12543.0
NWREC,3091.0,2014,12615.0,313,M,M,M,12.615,"(-90.7272222, 40.9305556)",3091,12615.0
NWREC,3091.0,2015,14104.0,255,M,M,M,14.104,"(-90.7272222, 40.9305556)",3091,14104.0
NWREC,3092.0,2012,8707.0,141,M,M,M,8.707,"(-90.7272222, 40.9305556)",3092,8707.0
NWREC,3092.0,2013,10524.0,143,M,M,M,10.524,"(-90.7272222, 40.9305556)",3092,10524.0
NWREC,3092.0,2011,11948.0,189,M,M,M,11.948,"(-90.7272222, 40.9305556)",3092,11948.0
NWREC,3092.0,2014,14876.0,211,M,M,M,14.876,"(-90.7272222, 40.9305556)",3092,14876.0
NWREC,3092.0,2015,15593.0,214,M,M,M,15.593,"(-90.7272222, 40.9305556)",3092,15593.0
NWREC,3101.0,2014,13615.0,255,M,M,M,13.615,"(-90.7272222, 40.9305556)",3101,13615.0
NWREC,3101.0,2012,13810.0,165,M,M,M,13.81,"(-90.7272222, 40.9305556)",3101,13810.0
NWREC,3102.0,2012,13760.0,150,M,M,M,13.76,"(-90.7272222, 40.9305556)",3102,13760.0
NWREC,3102.0,2014,14629.0,191,M,M,M,14.629,"(-90.7272222, 40.9305556)",3102,14629.0
NWREC,4021.0,2012,14001.0,189,M,M,M,14.001,"(-90.7272222, 40.9305556)",4021,14001.0
NWREC,4021.0,2015,15372.0,228,M,M,M,15.372,"(-90.7272222, 40.9305556)",4021,15372.0
NWREC,4022.0,2012,13898.0,156,M,M,M,13.898,"(-90.7272222, 40.9305556)",4022,13898.0
NWREC,4022.0,2015,15755.0,218,M,M,M,15.755,"(-90.7272222, 40.9305556)",4022,15755.0
NWREC,4041.0,2011,15203.0,206,M,M,M,15.203,"(-90.7272222, 40.9305556)",4041,15203.0
NWREC,4041.0,2014,15247.0,223,M,M,M,15.247,"(-90.7272222, 40.9305556)",4041,15247.0
NWREC,4042.0,2011,12093.0,217,M,M,M,12.093,"(-90.7272222, 40.9305556)",4042,12093.0
NWREC,4042.0,2014,13642.0,273,M,M,M,13.642,"(-90.7272222, 40.9305556)",4042,13642.0
NWREC,4051.0,2014,13665.0,266,M,M,M,13.665,"(-90.7272222, 40.9305556)",4051,13665.0
NWREC,4051.0,2012,14790.0,180,M,M,M,14.79,"(-90.7272222, 40.9305556)",4051,14790.0
NWREC,4052.0,2012,13655.0,159,M,M,M,13.655,"(-90.7272222, 40.9305556)",4052,13655.0
NWREC,4052.0,2014,15083.0,219,M,M,M,15.083,"(-90.7272222, 40.9305556)",4052,15083.0
NWREC,4061.0,2013,9222.0,163,M,M,M,9.222,"(-90.7272222, 40.9305556)",4061,9222.0
NWREC,4061.0,2012,9743.0,149,M,M,M,9.743,"(-90.7272222, 40.9305556)",4061,9743.0
NWREC,4061.0,2011,10861.0,195,M,M,M,10.861,"(-90.7272222, 40.9305556)",4061,10861.0
NWREC,4061.0,2014,15186.0,226,M,M,M,15.186,"(-90.7272222, 40.9305556)",4061,15186.0
NWREC,4061.0,2015,15319.0,220,M,M,M,15.319,"(-90.7272222, 40.9305556)",4061,15319.0
NWREC,4062.0,2013,5725.0,212,M,M,M,5.725,"(-90.7272222, 40.9305556)",4062,5725.0
NWREC,4062.0,2012,7245.0,170,M,M,M,7.245,"(-90.7272222, 40.9305556)",4062,7245.0
NWREC,4062.0,2011,10016.0,211,M,M,M,10.016,"(-90.7272222, 40.9305556)",4062,10016.0
NWREC,4062.0,2014,13929.0,294,M,M,M,13.929,"(-90.7272222, 40.9305556)",4062,13929.0
NWREC,4062.0,2015,15376.0,246,M,M,M,15.376,"(-90.7272222, 40.9305556)",4062,15376.0
NWREC,4081.0,2013,13649.0,231,M,M,M,13.649,"(-90.7272222, 40.9305556)",4081,13649.0
NWREC,4082.0,2013,14018.0,211,M,M,M,14.018,"(-90.7272222, 40.9305556)",4082,14018.0
NWREC,4091.0,2013,12204.0,245,M,M,M,12.204,"(-90.7272222, 40.9305556)",4091,12204.0
NWREC,4091.0,2011,13474.0,203,M,M,M,13.474,"(-90.7272222, 40.9305556)",4091,13474.0
NWREC,4091.0,2015,14942.0,242,M,M,M,14.942,"(-90.7272222, 40.9305556)",4091,14942.0
NWREC,4092.0,2011,12714.0,200,M,M,M,12.714,"(-90.7272222, 40.9305556)",4092,12714.0
NWREC,4092.0,2013,13829.0,199,M,M,M,13.829,"(-90.7272222, 40.9305556)",4092,13829.0
NWREC,4092.0,2015,15360.0,223,M,M,M,15.36,"(-90.7272222, 40.9305556)",4092,15360.0
