uniqueid,plotid,year,Corn grain yield at 15.5% MB,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture
NWREC,1011,2014,13596,263,M,M,M
NWREC,1011,2012,13828,168,M,M,M
NWREC,1011,2011,M,M,88,M,M
NWREC,1011,2013,M,M,101,M,M
NWREC,1011,2015,M,M,60,M,M
NWREC,1012,2012,13189,158,M,M,M
NWREC,1012,2014,14922,205,M,M,M
NWREC,1012,2011,M,M,88,M,M
NWREC,1012,2013,M,M,113,M,M
NWREC,1012,2015,M,M,60,M,M
NWREC,1021,2012,14177,173,M,M,M
NWREC,1021,2015,14849,226,M,M,M
NWREC,1021,2011,M,M,M,3995,84
NWREC,1021,2013,M,M,111,M,M
NWREC,1021,2014,M,M,M,5070,120
NWREC,1022,2012,14220,156,M,M,M
NWREC,1022,2015,15604,218,M,M,M
NWREC,1022,2011,M,M,M,4190,82
NWREC,1022,2013,M,M,111,M,M
NWREC,1022,2014,M,M,M,4542,190
NWREC,1061,2013,14405,257,M,M,M
NWREC,1061,2011,M,M,86,M,M
NWREC,1061,2012,M,M,M,5812,182
NWREC,1061,2014,M,M,130,M,M
NWREC,1061,2015,M,M,M,2754,110
NWREC,1062,2013,15459,206,M,M,M
NWREC,1062,2011,M,M,83,M,M
NWREC,1062,2012,M,M,M,7247,128
NWREC,1062,2014,M,M,130,M,M
NWREC,1062,2015,M,M,M,3136,100
NWREC,1071,2011,14708,200,M,M,M
NWREC,1071,2014,15032,206,M,M,M
NWREC,1071,2012,M,M,75,M,M
NWREC,1071,2013,M,M,M,3857,109
NWREC,1071,2015,M,M,50,M,M
NWREC,1072,2014,12968,226,M,M,M
NWREC,1072,2011,13632,210,M,M,M
NWREC,1072,2012,M,M,89,M,M
NWREC,1072,2013,M,M,M,3846,116
NWREC,1072,2015,M,M,120,M,M
NWREC,1081,2011,M,M,84,M,M
NWREC,1081,2012,M,M,79,M,M
NWREC,1081,2013,M,M,101,M,M
NWREC,1081,2014,M,M,130,M,M
NWREC,1081,2015,M,M,50,M,M
NWREC,1082,2011,M,M,79,M,M
NWREC,1082,2012,M,M,83,M,M
NWREC,1082,2013,M,M,100,M,M
NWREC,1082,2014,M,M,130,M,M
NWREC,1082,2015,M,M,70,M,M
NWREC,1091,2013,13796,218,M,M,M
NWREC,1091,2011,13916,199,M,M,M
NWREC,1091,2015,14653,201,M,M,M
NWREC,1091,2012,M,M,76,M,M
NWREC,1091,2014,M,M,140,M,M
NWREC,1092,2013,12571,228,M,M,M
NWREC,1092,2011,12608,210,M,M,M
NWREC,1092,2015,14437,216,M,M,M
NWREC,1092,2012,M,M,88,M,M
NWREC,1092,2014,M,M,130,M,M
NWREC,1101,2012,7675,144,M,M,M
NWREC,1101,2013,10409,178,M,M,M
NWREC,1101,2011,11456,177,M,M,M
NWREC,1101,2015,14972,213,M,M,M
NWREC,1101,2014,14988,214,M,M,M
NWREC,1102,2012,6940,141,M,M,M
NWREC,1102,2013,8574,166,M,M,M
NWREC,1102,2014,13634,274,M,M,M
NWREC,1102,2015,15128,231,M,M,M
NWREC,1102,2011,M,190,M,M,M
NWREC,2011,2014,13038,255,M,M,M
NWREC,2011,2012,M,M,88,M,M
NWREC,2011,2013,M,M,M,3727,115
NWREC,2011,2015,M,M,60,M,M
NWREC,2012,2011,13946,203,M,M,M
NWREC,2012,2014,15124,216,M,M,M
NWREC,2012,2012,M,M,95,M,M
NWREC,2012,2013,M,M,M,3814,115
NWREC,2012,2015,M,M,90,M,M
NWREC,2031,2012,8968,143,M,M,M
NWREC,2031,2013,10496,183,M,M,M
NWREC,2031,2011,12229,190,M,M,M
NWREC,2031,2014,14468,222,M,M,M
NWREC,2031,2015,15457,225,M,M,M
NWREC,2032,2012,8101,162,M,M,M
NWREC,2032,2013,10456,233,M,M,M
NWREC,2032,2011,12403,213,M,M,M
NWREC,2032,2014,13021,289,M,M,M
NWREC,2032,2015,13938,233,M,M,M
NWREC,2051,2013,14629,219,M,M,M
NWREC,2051,2011,M,M,102,M,M
NWREC,2051,2012,M,M,M,6318,135
NWREC,2051,2014,M,M,120,M,M
NWREC,2051,2015,M,M,M,2973,90
NWREC,2052,2013,13687,248,M,M,M
NWREC,2052,2011,M,M,83,M,M
NWREC,2052,2012,M,M,M,5803,153
NWREC,2052,2014,M,M,130,M,M
NWREC,2052,2015,M,M,M,2805,150
NWREC,2061,2012,13344,173,M,M,M
NWREC,2061,2015,15257,233,M,M,M
NWREC,2061,2011,M,M,M,4563,80
NWREC,2061,2013,M,M,116,M,M
NWREC,2061,2014,M,M,M,4634,80
NWREC,2062,2012,14299,163,M,M,M
NWREC,2062,2015,16001,217,M,M,M
NWREC,2062,2011,M,M,M,4112,84
NWREC,2062,2013,M,M,109,M,M
NWREC,2062,2014,M,M,M,4813,70
NWREC,2071,2014,13754,250,M,M,M
NWREC,2071,2012,14539,178,M,M,M
NWREC,2071,2011,M,M,81,M,M
NWREC,2071,2013,M,M,121,M,M
NWREC,2071,2015,M,M,60,M,M
NWREC,2072,2012,13979,162,M,M,M
NWREC,2072,2014,15413,202,M,M,M
NWREC,2072,2011,M,M,83,M,M
NWREC,2072,2013,M,M,112,M,M
NWREC,2072,2015,M,M,70,M,M
NWREC,2091,2013,11275,237,M,M,M
NWREC,2091,2011,13616,207,M,M,M
NWREC,2091,2015,15472,208,M,M,M
NWREC,2091,2012,M,M,79,M,M
NWREC,2091,2014,M,M,130,M,M
NWREC,2092,2013,12024,232,M,M,M
NWREC,2092,2011,12680,213,M,M,M
NWREC,2092,2015,15019,224,M,M,M
NWREC,2092,2012,M,M,88,M,M
NWREC,2092,2014,M,M,150,M,M
NWREC,2101,2011,M,M,81,M,M
NWREC,2101,2012,M,M,74,M,M
NWREC,2101,2013,M,M,101,M,M
NWREC,2101,2014,M,M,130,M,M
NWREC,2101,2015,M,M,50,M,M
NWREC,2102,2011,M,M,81,M,M
NWREC,2102,2012,M,M,89,M,M
NWREC,2102,2013,M,M,105,M,M
NWREC,2102,2014,M,M,130,M,M
NWREC,2102,2015,M,M,70,M,M
NWREC,3011,2013,11114,271,M,M,M
NWREC,3011,2011,M,M,83,M,M
NWREC,3011,2012,M,M,M,5857,179
NWREC,3011,2014,M,M,120,M,M
NWREC,3011,2015,M,M,M,3276,120
NWREC,3012,2013,14038,223,M,M,M
NWREC,3012,2011,M,M,82,M,M
NWREC,3012,2012,M,M,M,6864,144
NWREC,3012,2014,M,M,130,M,M
NWREC,3012,2015,M,M,M,3179,100
NWREC,3031,2013,13082,254,M,M,M
NWREC,3031,2011,14297,237,M,M,M
NWREC,3031,2015,15000,230,M,M,M
NWREC,3031,2012,M,M,83,M,M
NWREC,3031,2014,M,M,130,M,M
NWREC,3032,2013,14020,231,M,M,M
NWREC,3032,2015,15154,211,M,M,M
NWREC,3032,2011,15599,222,M,M,M
NWREC,3032,2012,M,M,81,M,M
NWREC,3032,2014,M,M,120,M,M
NWREC,3051,2011,13912,207,M,M,M
NWREC,3051,2014,15012,218,M,M,M
NWREC,3051,2012,M,M,82,M,M
NWREC,3051,2013,M,M,M,3442,104
NWREC,3051,2015,M,M,60,M,M
NWREC,3052,2014,13661,274,M,M,M
NWREC,3052,2011,13945,236,M,M,M
NWREC,3052,2012,M,M,114,M,M
NWREC,3052,2013,M,M,M,3593,106
NWREC,3052,2015,M,M,100,M,M
NWREC,3061,2012,14387,162,M,M,M
NWREC,3061,2015,15210,229,M,M,M
NWREC,3061,2011,M,M,M,3799,84
NWREC,3061,2013,M,M,98,M,M
NWREC,3061,2014,M,M,M,4876,100
NWREC,3062,2012,15368,180,M,M,M
NWREC,3062,2015,15525,234,M,M,M
NWREC,3062,2011,M,M,M,3863,76
NWREC,3062,2013,M,M,105,M,M
NWREC,3062,2014,M,M,M,5328,90
NWREC,3081,2011,M,M,82,M,M
NWREC,3081,2012,M,M,100,M,M
NWREC,3081,2013,M,M,117,M,M
NWREC,3081,2014,M,M,140,M,M
NWREC,3081,2015,M,M,60,M,M
NWREC,3082,2011,M,M,79,M,M
NWREC,3082,2012,M,M,79,M,M
NWREC,3082,2013,M,M,98,M,M
NWREC,3082,2014,M,M,120,M,M
NWREC,3082,2015,M,M,60,M,M
NWREC,3091,2013,8061,266,M,M,M
NWREC,3091,2012,8670,151,M,M,M
NWREC,3091,2011,12543,201,M,M,M
NWREC,3091,2014,12615,313,M,M,M
NWREC,3091,2015,14104,255,M,M,M
NWREC,3092,2012,8707,141,M,M,M
NWREC,3092,2013,10524,143,M,M,M
NWREC,3092,2011,11948,189,M,M,M
NWREC,3092,2014,14876,211,M,M,M
NWREC,3092,2015,15593,214,M,M,M
NWREC,3101,2014,13615,255,M,M,M
NWREC,3101,2012,13810,165,M,M,M
NWREC,3101,2011,M,M,83,M,M
NWREC,3101,2013,M,M,99,M,M
NWREC,3101,2015,M,M,60,M,M
NWREC,3102,2012,13760,150,M,M,M
NWREC,3102,2014,14629,191,M,M,M
NWREC,3102,2011,M,M,81,M,M
NWREC,3102,2013,M,M,100,M,M
NWREC,3102,2015,M,M,60,M,M
NWREC,4021,2012,14001,189,M,M,M
NWREC,4021,2015,15372,228,M,M,M
NWREC,4021,2011,M,M,M,3974,80
NWREC,4021,2013,M,M,109,M,M
NWREC,4021,2014,M,M,M,5458,70
NWREC,4022,2012,13898,156,M,M,M
NWREC,4022,2015,15755,218,M,M,M
NWREC,4022,2011,M,M,M,3890,82
NWREC,4022,2013,M,M,101,M,M
NWREC,4022,2014,M,M,M,5224,80
NWREC,4041,2011,15203,206,M,M,M
NWREC,4041,2014,15247,223,M,M,M
NWREC,4041,2012,M,M,84,M,M
NWREC,4041,2013,M,M,M,3959,101
NWREC,4041,2015,M,M,50,M,M
NWREC,4042,2011,12093,217,M,M,M
NWREC,4042,2014,13642,273,M,M,M
NWREC,4042,2012,M,M,95,M,M
NWREC,4042,2013,M,M,M,3314,118
NWREC,4042,2015,M,M,90,M,M
NWREC,4051,2014,13665,266,M,M,M
NWREC,4051,2012,14790,180,M,M,M
NWREC,4051,2011,M,M,81,M,M
NWREC,4051,2013,M,M,120,M,M
NWREC,4051,2015,M,M,60,M,M
NWREC,4052,2012,13655,159,M,M,M
NWREC,4052,2014,15083,219,M,M,M
NWREC,4052,2011,M,M,82,M,M
NWREC,4052,2013,M,M,108,M,M
NWREC,4052,2015,M,M,70,M,M
NWREC,4061,2013,9222,163,M,M,M
NWREC,4061,2012,9743,149,M,M,M
NWREC,4061,2011,10861,195,M,M,M
NWREC,4061,2014,15186,226,M,M,M
NWREC,4061,2015,15319,220,M,M,M
NWREC,4062,2013,5725,212,M,M,M
NWREC,4062,2012,7245,170,M,M,M
NWREC,4062,2011,10016,211,M,M,M
NWREC,4062,2014,13929,294,M,M,M
NWREC,4062,2015,15376,246,M,M,M
NWREC,4081,2013,13649,231,M,M,M
NWREC,4081,2011,M,M,80,M,M
NWREC,4081,2012,M,M,M,6216,130
NWREC,4081,2014,M,M,120,M,M
NWREC,4081,2015,M,M,M,2687,100
NWREC,4082,2013,14018,211,M,M,M
NWREC,4082,2011,M,M,79,M,M
NWREC,4082,2012,M,M,M,7509,121
NWREC,4082,2014,M,M,120,M,M
NWREC,4082,2015,M,M,M,3531,120
NWREC,4091,2013,12204,245,M,M,M
NWREC,4091,2011,13474,203,M,M,M
NWREC,4091,2015,14942,242,M,M,M
NWREC,4091,2012,M,M,81,M,M
NWREC,4091,2014,M,M,130,M,M
NWREC,4092,2011,12714,200,M,M,M
NWREC,4092,2013,13829,199,M,M,M
NWREC,4092,2015,15360,223,M,M,M
NWREC,4092,2012,M,M,84,M,M
NWREC,4092,2014,M,M,120,M,M
NWREC,4101,2011,M,M,78,M,M
NWREC,4101,2012,M,M,130,M,M
NWREC,4101,2013,M,M,113,M,M
NWREC,4101,2014,M,M,130,M,M
NWREC,4101,2015,M,M,50,M,M
NWREC,4102,2011,M,M,79,M,M
NWREC,4102,2012,M,M,86,M,M
NWREC,4102,2013,M,M,99,M,M
NWREC,4102,2014,M,M,120,M,M
NWREC,4102,2015,M,M,70,M,M
units,,,kg ha-1,g kg-1,g kg-1,kg ha-1,g kg-1
